かな,英語,ローマ字
いかが,how,ikaga
いがく,medical science,igaku
いかす,take advantage of,ikasu
いかに,how,ikani
いかにも,indeed,ikanimo
いかやき,grilled squid,ikayaki
いかり,anger,ikari
いき,going,iki
いき,breath,iki
いぎ,meaning,igi
いきいきと,lively,ikiikito
いきおい,vigor,ikioi
いきかた,way of life,ikikata
いきき,comings and goings,ikiki
いきどまり,dead end,ikidomari
いきなり,all of a sudden,ikinari
いきもの,living creature,ikimono
いきる,live (one's life),ikiru
いく,go,iku
いくじ,childcare,ikuji
いくつ,how many,ikutsu
いくら,how much,ikura
いくら,no matter how much,ikura
いけ,pond,ike
いけない,wrong,ikenai
いけばな,flower arrangement,ikebana
いけん,opinion,iken
いご,from now on,igo
いご,"game of ""go""",igo
いこう,hereafter,ikō
いこう,intention,ikō
いし,stone,ishi
いし,will,ishi
いし,doctor,ishi
いじ,maintenance,iji
いしき,consciousness,ishiki
いじめ,bullying,ijime
いじめる,ill-treat,ijimeru
いしゃ,doctor,isha
いじょう,not less than,ijō
いじょう,extraordinary,ijō
いしょくじゅう,clothing and food and housing,ishokujū
いじわる,nastiness,ijiwaru
いす,chair,isu
いずみ,spring,izumi
いすらむきょう,Islam,isuramukyō
いずれ,eventually,izure
いせい,opposite sex,isei
いぜん,before,izen
いそがしい,busy,isogashii
いそぐ,hurry,isogu
いた,board,ita
いたい,painful,itai
いだい,great,idai
いだく,embrace,idaku
いたす,humbly do,itasu
いたずら,mischief,itazura
いただきます,lets eat (with gratitude),itadakimasu
いただく,receive,itadaku
いたち,weasel,itachi
いたみ,pain,itami
いたむ,feel pain,itamu
いためる,damage,itameru
いためる,stir-fry,itameru
いたる,come to,itaru
いたるところ,everywhere,itarutokoro
いち,one,ichi
いち,position,ichi
いちいち,one by one,ichiichi
いちいん,member,ichiin
いちえん,1 yen,ichi en
いちおう,tentatively,ichiō
いちご,strawberry,ichigo
いちじ,temporarily,ichiji
いちじく,fig,ichijiku
いちじるしい,remarkable,ichijirushii
いちだんと,greater,ichidanto
いちどう,everybody,ichidō
いちどに,at a time,ichidoni
いちば,market,ichiba
いちばん,most,ichiban
いちぶ,part,ichibu
いちぶぶん,part,ichibubun
いちまんえん,"1,0000 yen",ichiman'en
いちめん,whole surface,ichimen
いちょう,stomach and intestines,ichō
いちりゅう,top-ranked,ichiryū
いつ,when,itsu
いっか,household,ikka
いつか,five days,itsuka
いつか,some time,itsuka
いっけん,at a glance,ikken
いっこうに,absolutely,ikkōni
いつごろ,about when,itsugoro
いっさい,not at all,issai
いっさくじつ,the day before yesterday,issakujitsu
いっさくねん,the year before last,issakunen
いっしゅ,a kind of,isshu
いっしゅう,circle,isshū
いっしゅん,instant,isshun
いっしょ,together,issho
いっしょう,a lifetime,isshō
いっしょうけんめい,for life,isshōkenmei
いっしょに,together,isshoni
いっせいに,all together,isseini
いっそう,more,issō
いったい,what on earth,ittai
いったい,area,ittai
いったん,once,ittan
いっち,accord,itchi
いつつ,five (things),itsutsu
いってい,constant,ittei
いつでも,always,itsudemo
いつのまに,when,itsunomani
いつのまにか,before it is noticed,itsunomanika
いっぱい,full,ippai
いっぱん,general,ippan
いっぱんに,generally,ippanni
いっぺんに,all at once,ippenni
いっぽう,one way,ippō
いつまでも,forever,itsumademo
いつも,always,itsumo
いてん,transfer,iten
いと,thread,ito
いと,intention,ito
いどう,movement,idō
いとこ,cousin,itoko
いなか,country,inaka
いぬ,dog,inu
いね,rice plant,ine
いねむり,doze,inemuri
いのしし,wild boar,inoshishi
いのち,life,inochi
いのり,prayer,inori
いのる,pray,inoru
いばる,put on airs,ibaru
いはん,violation,ihan
いびき,snoring,ibiki
いふく,clothes,ifuku
いま,now,ima
いま,living room,ima
いまごろ,about this time,imagoro
いまさら,now,imasara
いまに,before long,imani
いまにも,at any moment,imanimo
いままで,until now,imamade
いみ,meaning,imi
いめーじ,image,imēji
いも,potato,imo
いもうと,younger sister,imōto
いや,dislike,iya
いやいや,reluctantly,iyaiya
いやがる,dislike,iyagaru
いやしい,mean,iyashii
いやらしい,disgusting,iyarashii
いやりんぐ,earrings,iyaringu
いよいよ,finally,iyoiyo
いよく,volition,iyoku
いらい,since,irai
いらい,request,irai
いらいら,be irritated,iraira
いらっしゃる,come,irassharu
いりぐち,entrance,iriguchi
いりょう,medical service,iryō
いりょう,clothing,iryō
いる,need,iru
いる,be present,iru
いるい,clothes,irui
いれもの,receptacle,iremono
いれる,put in,ireru
いろ,color,iro
いろいろ,in various ways,iroiro
いわ,rock,iwa
いわい,celebration,iwai
いわう,celebrate,iwau
いんかん,personal seal,inkan
いんく,ink,inku
いんこ,parakeet,inko
いんさつ,printing,insatsu
いんしょう,impression,inshō
いんたびゅー,interview,intabyū
いんてり,intelligent,interi
いんとねーしょん,intonation,intonēshon
いんふれーしょん,inflation,infurēshon
いんよう,quotation,inyō
いんりょうすい,drinking water,inryōsui
うぃーくえんど,weekend,uiikuendo
ういすきー,whisky,uisukii
うーる,wool,ūru
うえ,up,ue
うぇーたー,waiter,uētaa
うぇーとれす,waitress,uētoresu
うえき,garden plant,ueki
うえした,above and below,ueshita
うえすと,the waist,uesuto
うえる,plant,ueru
うがい,gargling,ugai
うかがう,politely ask,ukagau
うかぶ,float,ukabu
うかべる,set afloat,ukaberu
うかる,pass,ukaru
うきうき,feel excited,ukiuki
うく,float,uku
うけいれる,accept,ukeireru
うけつけ,receptionist,uketsuke
うけつける,receive,uketsukeru
うけとめる,catch,uketomeru
うけとり,receipt,uketori
うけとる,receive,uketoru
うけみ,passiveness,ukemi
うけもつ,have charge of,ukemotsu
うける,receive,ukeru
うごかす,move,ugokasu
うごき,movement,ugoki
うごく,move,ugoku
うさぎ,rabbit,usagi
うし,cattle,ushi
うしなう,lose,ushinau
うしろ,back,ushiro
うしろむき,facing backward,ushiromuki
うすい,thin,usui
うすぎ,light clothing,usugi
うすぐらい,gloomy,usugurai
うすめる,thin,usumeru
うずめる,bury,uzumeru
うそ,lie,uso
うそつき,liar,usotsuki
うた,song,uta
うたう,sing,utau
うたがい,doubt,utagai
うたがう,doubt,utagau
うたがわしい,doubtful,utagawashii
うたごえ,singing voice,utagoe
うち,house,uchi
うち,inside,uchi
うちあける,confide in,uchiakeru
うちあげる,shoot up,uchiageru
うちあわせ,meeting,uchiawase
うちあわせる,arrange,uchiawaseru
うちがわ,inside,uchigawa
うちけし,negation,uchikeshi
うちこむ,devote oneself,uchikomu
うちゅう,universe,uchū
うちわ,round paper fan,uchiwa
うつ,hit,utsu
うつ,fire,utsu
うっかり,carelessly,ukkari
うつくしい,beautiful,utsukushii
うつす,copy,utsusu
うつす,move,utsusu
うつす,reflect,utsusu
うったえ,lawsuit,uttae
うったえる,sue,uttaeru
うつむく,face downward,utsumuku
うつる,be taken,utsuru
うつる,move,utsuru
うつる,be reflected,utsuru
うつわ,vessel,utsuwa
うで,arm,ude
うでどけい,wrist watch,udedokei
うてん,rainy weather,uten
うどん,noodles,udon
うながす,hasten,unagasu
うなぎ,eel,unagi
うなずく,nod,unazuku
うばう,rob,ubau
うま,horse,uma
うまい,good at,umai
うまい,delicious,umai
うまれ,birth,umare
うまれつき,born,umaretsuki
うまれる,be born,umareru
うみ,sea,umi
うみだす,generate,umidasu
うむ,have children,umu
うめ,plum blossom,ume
うめしゅ,umeshu (plum wine),umeshu
うめぼし,pickled plum,umeboshi
うめる,bury,umeru
うやまう,respect,uyamau
うら,rear,ura
うらおもて,inside-out,uraomote
うらがえし,turn over,uragaeshi
うらがえす,turn over,uragaesu
うらぎる,betray,uragiru
うらぐち,back door,uraguchi
うらみ,grudge,urami
うらむ,hold a grudge,uramu
うらもん,back gate,uramon
うらやましい,envious,urayamashii
うりあげ,sales,uriage
うりきれ,sellout,urikire
うりきれる,be sold out,urikireru
うりだす,put on sale,uridasu
うりば,sales floor,uriba
うる,sell,uru
うるさい,noisy,urusai
うれしい,happy,ureshii
うれる,sell,ureru
うろうろ,wander,urōro
うわぎ,coat,uwagi
うわさ,gossip,uwasa
うん,fortune,un
うんえい,operation,un'ei
うんそう,shipping,unsō
うんちん,passenger fare,unchin
うんてん,drive,unten
うんてんしゅ,driver,untenshu
うんどう,movement,undō
うんどうかい,sports festival,undōkai
うんどうじょう,playground,undōjō
うんめい,fate,unmei
うんよう,operation,unyō
え,picture,e
え,handle,e
えあこん,air-conditioning,eakon
えあめーる,airmail,eamēru
えいえん,eternity,eien
えいが,movie,eiga
えいがかん,movie theater,eigakan
えいきゅう,permanence,eikyū
えいきょう,influence,eikyō
えいぎょう,business,eigyō
えいご,English,eigo
えいず,AIDS,eizu
えいせい,satellite,eisei
えいせい,hygiene,eisei
えいせいてき,sanitary,eiseiteki
えいぶん,English,eibun
えいゆう,hero,eiyū
えいよう,nutrition,eiyō
えいわ,English-Japanese,eiwa
えがお,smiling face,egao
えがく,depict,egaku
えき,railway station,eki
えき,liquid,eki
えきいん,station employee,ekiin
えきたい,liquid,ekitai
えきちょう,stationmaster,ekichō
えきまえ,in front of the station,ekimae
えさ,bait,esa
えすかれーたー,escalator,esukarētaa
えだ,branch,eda
えちけっと,etiquette,echiketto
えねるぎー,energy,enerugii
えはがき,picture postcard,ehagaki
えび,lobster,ebi
えほん,picture book,ehon
えらい,great,erai
えらぶ,choose,erabu
えり,collar,eri
える,obtain,eru
えれべーたー,elevator,erebētaa
えん,yen,en
えん,circle,en
えんがん,coast,engan
えんき,postponement,enki
えんげき,drama,engeki
えんじょ,aid,enjo
えんじる,perform,enjiru
えんじん,engine,enjin
えんぜつ,speech,enzetsu
えんそう,musical performance,ensō
えんそく,excursion,ensoku
えんだか,appreciation of the yen,endaka
えんちょう,extension,enchō
えんとつ,chimney,entotsu
えんぴつ,pencil,enpitsu
えんりょ,reserve,enryo
お,tail,o
おい,nephew,oi
おいかける,chase,oikakeru
おいこす,outrun,oikosu
おいしい,tasty,oishii
おいしゃさん,doctor,oishasan
おいだす,turn out,oidasu
おいつく,overtake,oitsuku
おいぬく,pass,oinuku
おいわい,celebrate,oiwai
おう,king,ō
おう,chase,ō
おうえん,support,ōen
おうさま,king,ōsama
おうじる,answer,ōjiru
おうだん,crossing,ōdan
おうだんほどう,pedestrian crossing,ōdanhodō
おうふく,going and returning,ōfuku
おうべい,Europe and America,ōbei
おうぼ,application,ōbo
おうむ,parrot,ōmu
おうよう,application,ōyō
おえる,end,oeru
おおあめ,heavy rain,ōame
おおい,lots of,ōi
おおいそぎ,in a great hurry,ōisogi
おおいに,very,ōini
おおう,cover,ōu
おおがた,large,ōgata
おおかみ,wolf,ōkami
おおきい,big,ōkii
おおきさ,size,ōkisa
おおく,much,ōku
おおくらしょう,Ministry of Finance,ōkurashō
おおげさ,exaggerate,ōgesa
おーけすとら,orchestra,ōkesutora
おおごえ,loud voice,ōgoe
おおぜい,large numbers,ōzei
おおて,major companies,ōte
おおどおり,main street,ōdōri
おーとばい,motorbike,ōtobai
おーばー,exaggerate,ōbaa
おおはば,drastically,ōhaba
おおみず,flood,ōmizu
おおみそか,new year's eve,ōmisoka
おおむぎ,barley,ōmugi
おおや,landlord,ōya
おおゆき,heavy snow,ōyuki
おおよろこび,great joy,ōyorokobi
おか,land,oka
おか,hill,oka
おかあさん,mother,okaasan
おかげ,help,okage
おかし,sweets,okashi
おかしい,strange,okashii
おかしい,funny,okashii
おかす,offend against,okasu
おかす,invade,okasu
おかず,side dish,okazu
おがむ,bow in veneration,ogamu
おがわ,brook,ogawa
おき,offshore,oki
おきあがる,get up,okiagaru
おぎなう,supplement,oginau
おきる,get up,okiru
おきる,occur,okiru
おく,put,oku
おく,hundred million,oku
おく,inner part,oku
おくさま,married woman,okusama
おくさん,married lady,okusan
おくじょう,housetop,okujō
おくびょう,cowardice,okubyō
おくらす,delay,okurasu
おくりがな,kana suffix,okurigana
おくりもの,present,okurimono
おくる,send,okuru
おくる,offer,okuru
おくれ,delay,okure
おくれる,be late,okureru
おこす,wake up,okosu
おこす,bring about,okosu
おこなう,do,okonau
おこのみやき,savory pancake,okonomiyaki
おこる,happen,okoru
おこる,get angry,okoru
おごる,treat,ogoru
おさえる,hold down,osaeru
おさえる,suppress,osaeru
おさない,young,osanai
おさまる,settle down,osamaru
おさめる,pay a tax or fee,osameru
おじ,uncle,oji
おしい,almost,oshii
おじいさん,grandfather,ojiisan
おしいれ,closet,oshiire
おしえ,lesson,oshie
おしえる,teach,oshieru
おじぎ,bow,ojigi
おじさん,uncle,ojisan
おじさん,Mister,ojisan
おしまい,finished,oshimai
おしむ,grudge,oshimu
おしゃべり,chatter,oshaberi
おしゃれ,dressing up smartly,oshare
おじょうさん,young lady,ojōsan
おしろい,face powder,oshiroi
おす,male,osu
おせいぼ,year-end gift,oseibo
おせじ,compliment,oseji
おせん,pollution,osen
おそい,slow,osoi
おそう,raid,osō
おそらく,probably,osoraku
おそれ,fear,osore
おそれる,fear,osoreru
おそろしい,terrible,osoroshii
おそわる,be taught,osowaru
おたがい,each other,otagai
おたく,your home,otaku
おだてる,flatter,odateru
おだやか,calm,odayaka
おちつき,presence of mind,ochitsuki
おちつく,calm down,ochitsuku
おちば,fallen leaves,ochiba
おちゃ,tea (polite),ocha
おちゅうげん,mid-year gift,ochūgen
おちる,fall,ochiru
おつかれ,thanks for today,otsukare
おっしゃる,say,ossharu
おっと,husband,otto
おつり,change,otsuri
おつり,change (money back),otsuri
おてあらい,toilet,otearai
おてつだい,helper,otetsudai
おでん,oden (hotpot dish),oden
おと,sound,oto
おとうさん,father,otōsan
おとうと,younger brother,otōto
おどかす,threaten,odokasu
おとこ,man,otoko
おとこのこ,boy,otokonoko
おとこらしい,manly,otokorashii
おとしだま,New Year's gift,otoshidama
おとしもの,lost property,otoshimono
おとす,drop,otosu
おとずれる,visit,otozureru
おととい,day before yesterday,ototoi
おととし,the year before last,ototoshi
おとな,adult,otona
おとなしい,gentle,otonashii
おどり,dance,odori
おとる,be inferior to,otoru
おどる,dance,odoru
おとろえる,weaken,otoroeru
おどろかす,surprise,odorokasu
おどろき,surprise,odoroki
おどろく,be surprised,odoroku
おなか,stomach,onaka
おなじ,same,onaji
おにいさん,older brother,oniisan
おにぎり,rice ball,onigiri
おねえさん,older sister,onēsan
おねがい,favor,onegai
おば,aunt,oba
おばあさん,grandmother,obaasan
おはぎ,ohagi (sweet rice ball),ohagi
おばけ,ghost,obake
おばさん,aunt,obasan
おばさん,middle-aged woman,obasan
おはよう,good morning,ohayō
おび,belt,obi
おふだ,talisman,ofuda
おぼうさん,monk,obōsan
おぼえ,recollection,oboe
おぼえる,memorize,oboeru
おぼれる,drown,oboreru
おまいり,visiting a shrine or temple,omairi
おまえ,you,omae
おまけ,free gift,omake
おまもり,amulet,omamori
おまわりさん,policeman,omawarisan
おみくじ,fortune slip,omikuji
おみやげ,souvenir,omiyage
おめにかかる,meet,omenikakaru
おも,main,omo
おもい,heavy,omoi
おもい,thoughts,omoi
おもいがけない,unexpected,omoigakenai
おもいきって,boldly,omoikitte
おもいきり,to one's heart's content,omoikiri
おもいこむ,assume,omoikomu
おもいだす,recollect,omoidasu
おもいつく,think of,omoitsuku
おもいで,recollections,omoide
おもいやり,thoughtfulness,omoiyari
おもう,think,omō
おもさ,weight,omosa
おもしろい,interesting,omoshiroi
おもたい,heavy,omotai
おもちゃ,toy,omocha
おもて,front side,omote
おもに,mainly,omoni
おもみ,weight,omomi
おもわず,unintentionally,omowazu
おや,parent,oya
おやこ,parent and child,oyako
おやすみ,good night,oyasumi
おやつ,snack,oyatsu
おやゆび,thumb,oyayubi
およぐ,swim,oyogu
およそ,just about,oyoso
およぶ,reach to,oyobu
おりもの,cloth,orimono
おりる,go down,oriru
おりる,get off,oriru
おりんぴっく,the Olympics,orinpikku
おる,break off,oru
おる,be present,oru
おるがん,organ,orugan
おれ,I,ore
おれい,thanks,orei
おれる,snap,oreru
おれんじ,orange,orenji
おろす,unload,orosu
おろす,bring down,orosu
おわび,apologize,owabi
おわり,end,owari
おわる,finish,owaru
おん,debt of gratitude,on
おんがく,music,ongaku
おんせん,hot spring,onsen
おんたい,temperate zone,ontai
おんだん,warm,ondan
おんど,temperature,ondo
おんどり,rooster,ondori
おんな,woman,onna
おんなのこ,girl,onnanoko
おんならしい,womanly,onnarashii
おんよみ,Chinese-derived kanji reading,onyomi
か,permitted,ka
か,section,ka
か,mosquito,ka
かーてん,curtain,kaaten
かーど,card,kaado
がーど,guard rail,gaado
かーぶ,curve,kaabu
がーるふれんど,girlfriend,gaarufurendo
かい,meeting,kai
かい,shellfish,kai
がい,harm,gai
かいいん,member,kaiin
がいか,foreign currency,gaika
かいかい,opening,kaikai
かいがい,overseas,kaigai
かいかく,reform,kaikaku
かいがん,seashore,kaigan
がいかん,external appearance,gaikan
かいぎ,conference,kaigi
かいきょう,straits,kaikyō
かいけい,account,kaikei
かいけつ,solution,kaiketsu
がいこう,diplomacy,gaikō
がいこく,foreign country,gaikoku
がいこくご,foreign language,gaikokugo
がいこくじん,foreigner,gaikokujin
かいさい,holding (of an event),kaisai
かいさつ,ticket gate,kaisatsu
かいさつぐち,ticket barrier,kaisatsuguchi
かいさん,breakup,kaisan
かいし,beginning,kaishi
かいしゃ,company,kaisha
かいしゃく,interpretation,kaishaku
がいしゅつ,outing,gaishutsu
かいじょう,venue,kaijō
かいじょう,maritime,kaijō
がいしょう,Minister of Foreign Affairs,gaishō
がいしょく,eating out,gaishoku
がいじん,foreigner,gaijin
かいすい,seawater,kaisui
かいすいよく,sea bathing,kaisuiyoku
かいすう,frequency,kaisū
かいすうけん,book of tickets,kaisūken
かいせい,revision,kaisei
かいせい,fair and clear weather,kaisei
かいせつ,explanation,kaisetsu
かいぜん,improvement,kaizen
かいぞう,remodeling,kaizō
かいだん,steps,kaidan
かいだん,conversation,kaidan
かいちょう,president,kaichō
かいてん,opening of a store,kaiten
かいてん,revolution,kaiten
がいど,guide,gaido
かいとう,reply,kaitō
かいとう,solution,kaitō
がいねん,general idea,gainen
かいはつ,development,kaihatsu
かいひ,fee,kaihi
がいぶ,outside,gaibu
かいふく,recovery,kaifuku
かいほう,release,kaihō
かいほう,opening,kaihō
がいむしょう,Ministry of Foreign Affairs,gaimushō
かいもの,shopping,kaimono
かいよう,ocean,kaiyō
がいらいご,loanword,gairaigo
かいりゅう,ocean current,kairyū
かいりょう,improvement,kairyō
かいろ,circuit,kairo
かいわ,conversation,kaiwa
かう,buy,kau
かう,raise,kau
かえす,return,kaesu
かえす,send home,kaesu
かえって,on the contrary,kaette
かえり,return,kaeri
かえる,return,kaeru
かえる,change,kaeru
かえる,substitute,kaeru
かえる,exchange,kaeru
かえる,be restored to,kaeru
かえる,frog,kaeru
かお,face,kao
かおいろ,complexion,kaoiro
かおく,house,kaoku
かおつき,face,kaotsuki
かおり,perfume,kaori
がか,artist,gaka
かかえる,hold in one's arms,kakaeru
かかく,price,kakaku
かがく,science,kagaku
かがく,chemistry,kagaku
かがくしゃ,scientist,kagakusha
かかと,heel,kakato
かがみ,mirror,kagami
かがやく,shine brilliantly,kagayaku
かかり,person in charge,kakari
かかる,hang,kakaru
かかる,catch,kakaru
かかわる,involve,kakawaru
かき,summer,kaki
かき,persimmon,kaki
かぎ,key,kagi
かきかた,how to write,kakikata
かきごおり,shaved ice,kakigōri
かきことば,written language,kakikotoba
かきとめ,registered mail,kakitome
かきとり,dictation,kakitori
かきとる,write down,kakitoru
かきなおす,rewrite,kakinaosu
かきまわす,stir up,kakimawasu
かぎり,limit,kagiri
かぎる,be limited to,kagiru
かく,write,kaku
かく,core,kaku
かく,lack,kaku
かく,scratch,kaku
かぐ,furniture,kagu
かぐ,smell,kagu
がく,picture frame,gaku
がくえん,educational institution,gakuen
かくご,readiness,kakugo
かくさ,gap,kakusa
かくじ,each one,kakuji
かくじつ,certain,kakujitsu
がくしゃ,scholar,gakusha
かくしゅ,each kind,kakushu
がくしゅう,study,gakushū
かくしん,firm belief,kakushin
かくす,hide,kakusu
がくせい,student,gakusei
がくせつ,theory,gakusetsu
かくだい,magnification,kakudai
かくち,every place,kakuchi
かくちょう,expansion,kakuchō
がくちょう,college president,gakuchō
かくてい,decision,kakutei
かくど,angle,kakudo
かくとく,acquisition,kakutoku
かくにん,confirmation,kakunin
がくねん,school year,gakunen
がくひ,school expenses,gakuhi
がくぶ,faculty,gakubu
かくほ,securement,kakuho
かくめい,revolution,kakumei
がくもん,learning,gakumon
かくりつ,probability,kakuritsu
かくりつ,establishment,kakuritsu
がくりょく,scholastic performance,gakuryoku
がくれき,educational history,gakureki
かくれる,hide,kakureru
がくわり,student discount,gakuwari
がくんと,sharply,gakunto
かげ,shadow,kage
かげ,shade,kage
がけ,cliff,gake
かけあし,gallop,kakeashi
かけい,family finances,kakei
かけざん,multiplication,kakezan
かける,hang,kakeru
かける,be chipped,kakeru
かける,stake,kakeru
かける,gallop,kakeru
かける,bet,kakeru
かこ,the past,kako
かこう,processing,kakō
かこう,river mouth,kakō
かこむ,enclose,kakomu
かさ,umbrella,kasa
かさい,fire,kasai
がさがさ,rustle,gasagasa
かさなる,be piled up,kasanaru
かさねる,pile up,kasaneru
かざり,ornament,kazari
かざる,decorate,kazaru
かざん,volcano,kazan
かし,loan,kashi
かじ,fire,kaji
かじ,housework,kaji
かしこい,wise,kashikoi
かしだし,lending service,kashidashi
かしだす,lend,kashidasu
かしゅ,singer,kashu
かしら,head,kashira
かじる,nibble,kajiru
かす,lend,kasu
かず,number,kazu
がす,gas,gasu
かすか,faint,kasuka
かすたねつと,castanets,kasutanetsuto
かすてら,castella sponge cake,kasutera
かぜ,cold (illness),kaze
